,name,longitude,latitude,free_bikes,empty_slots,fsq_id
177,"C/ EDUARD TODA, 33 | C/ DOCTOR LETAMENDI",2.1585268,41.4345997,1,23,515587ca0fcf6ecc240ae4ca9c4b40f0
178,"C/ DEL COMTE D'URGELL, 75 B",2.1571646,41.3830299,3,22,52249e8f72004c480c1c6a8576e026b3
179,"C/ ROSSELLÓ, 354",2.1707947,41.4031491,7,18,52fa73f978c70844a5df97a301a116b7
180,"RAMBLA DE GUIPÚSCOA, 103 /CANTÀBRIA",2.2016699,41.4200135,8,15,534be855dda9378f5803c7a7bf3d6f18
181,"C/ NUMÀNCIA, 136",2.1344218,41.3878061,0,23,53ce167862161ac3e0db641efe20d40a
182,"C/ ARAGÓ, 614",2.1885055,41.4095069,9,8,542e07db8c95f24dd4f57175db5413dd
183,"C/ PUJADES, 191",2.2017694,41.4026275,4,27,54b26dd25ba58f0dfe77e914dc0c5867
184,PG. DE LLUIS COMPANYS (ARC DE TRIOMF),2.1808391,41.391313,30,2,54bd829993a3b684100ac9a064956b45
185,"C/ VIRIAT, 43",2.1408633,41.3806074,6,14,54ed62464266d6c6a9f500db64487420
186,PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS,2.1398322,41.3631066,17,15,558a9588c57f132d922efd3be50d01f8
187,"C/ DIPUTACIÓ, 22",2.150523,41.377846,15,5,55ffdfb26f20df2d6ecefaec7f63843a
188,PL. VICENÇ MARTORELL,2.1692556,41.3842634,11,7,5623abe908c3b96a5aceb962c0273f6a
189,"C/ MARINA, 25-33",2.195551,41.388143,13,38,564381fdb919b9d87d5fe0401634b667
190,"C/ COMERÇ, 36",2.1820169,41.3869612,14,8,56510ff03d4f05f12f0558f3b2c00592
191,"C/ SANT FRANCESC XAVIER, 1",2.1781553,41.4417001,5,4,57f74aae4218dbfd66eddce174ff557f
192,"AV. JOSEP TARRADELLAS, 27",2.1420704,41.3829333,5,11,5869b4d6a0fb19d55cf197cf737b00e0
193,C/ ARAGÓ 147,2.1546746,41.3847528,6,9,58abd7401d2bb160e3666d167cb3ad1b
194,"C/ ROSSELLÓ, 557",2.1809764,41.4110754,15,21,58b2f4261bcad8e026d73a9e75a843f6
195,"C/ CLOT, 1",2.1874404,41.4063864,8,16,58fbf6dface3f876f372cf38e1f4297d
196,"C/ LONDRES, 63",2.148291,41.391756,0,29,595e572ca67b7fd58818285d5f751af7
197,"270 - CRTA. DE RIBES, 77 (TRINITAT VELLA)",2.1898372,41.4486328,8,18,5a6414864fcc3c3d8b88fa7c62aabbac
198,"C/ VILADOMAT,  2",2.1629349,41.3755747,9,14,5a6b4c6a6b38a2ed0eba51fd65e031a3
199,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",2.1524704,41.4025392,1,22,5a81f702076a4092dd6e7581ffc307ff
200,"AV. MARQUÉS DE  L'ARGENTERA, 15",2.185085,41.384844,1,24,5ad61e30662fbc77da561d09aebbdc9f
201,"AV. FRANCESC CAMBÓ, 10",2.1773214,41.3855644,5,13,5b5bd28eaaea32d5f45aa307a5b306b7
202,"C/ CANTÀBRIA, 55",2.198071,41.4224015,11,15,5ba9b6be5098ba3b2cbcb81149a5f7c6
203,"RAMBLA DE L'ONZE DE SETEMBRE, 69",2.190246,41.4299999,16,8,5c10c2dba1c5a8e8d9dcbb251fd8eab7
204,"C/ DE RIBES, 59 B",2.1830315,41.39828,17,13,5dd9cb2366f74b3f39ced69bc1b27e63
205,"C/ BRUC, 20",2.1743743,41.3908381,2,20,5e5d2776870d78c58607c84eb4db80d6
206,"C/ RAMÓN TURRÓ, 160",2.1997869,41.3972809,8,18,5e8a9a99852ecd51a4d45c378a80a320
207,PL. JESÚS CARRASCO,2.176726,41.4450463,3,16,5e949bd62eec0a3872120b7300358308
208,"C/ VALLDONZELLA, 2",2.166261693115219,41.384575738679445,12,9,5eb9bb6fe3eb70e4a3250c05c5e46dc9
209,"AV. DIAGONAL, 652",2.1314948,41.389462,1,25,603359f89c4bd2f9e534261e8f834f48
210,"C/ RIERA ALTA, 6",2.1671611,41.3806411,28,1,60e5da341ebfa80528cf1fd1995f8310
211,"C/ FELIU DE CASANOVA, 1",2.1297823,41.3754188,19,8,614ca4a84009c33664c8489c909264f4
212,"C/REPÚBLICA DOMINICANA, 25 (CENTRO COMERCIAL)",2.1970692,41.439929,1,30,614fa4d6943058d43722dc81a0564c6c
213,"C/ IRLANDA, 34",2.18579,41.4315,0,11,627e166d8b3316534a9b51f10ee3d3ff
214,"C/ PAVIA, 3",2.1332694,41.3734706,24,1,62fb13f795141f7e52d9a318ec66fe08
215,"AV. ESTADI, 38",2.1522059,41.3663147,0,20,6483b6ba840a05a814874d0e94cd241f
216,"C/ CASP, 67",2.1764275,41.3937234,19,11,649a6bce881584f2182784d49e47284e
217,"PASSATGE DE SENILLOSA, 3-5",2.1250451,41.3954723,4,20,649da7e42e026afec2f1bae50f912cd1
218,"C/ MÚRCIA, 64",2.1909952,41.4166982,15,11,6522571fe7fa2aaecb16c6049b211ec2
219,"C/ SANT RAMON NONAT,  26",2.1169828,41.3770199,14,4,6597296b8aba550c3c36e8fba2e2a563
220,"C/ INDÚSTRIA, 329",2.1844769,41.4172922,20,13,65eae831e3dbb2bfc1bcb13da8ce3fd9
221,"C/ MALATS, 98-100",2.186105,41.4366708,10,4,6627cf97075521a6295e0364ae4d4e7f
222,"C/ FLORIDABLANCA, 145",2.1629146,41.3819459,18,2,6664971e93f901e063d983180e293d3d
223,"C/ PEDRELL, 52",2.166289,41.4246548,0,23,66c267ba8e1f56ad341dd17f54c369f9
224,"C/ CAVALLERS, 67",2.115107,41.3934324,4,19,670661fba74c24adc1778757b3388588
225,"PL. SANT MIQUEL, 4",2.177292,41.381708,19,6,6771869a4e86404f73b349215b92369d
226,"C/ LONDRES,  53",2.1476308,41.3912605,0,23,67d773ed6f6c11ef95f08828e0043e17
227,"C/ GRANOLLERS, 1",2.1629889,41.4283127,7,15,6862769769ff575bde387fa0dfe64d91
228,"C/ ARAGÓ, 288",2.166797,41.39352,2,14,689309692643da94970d523bb63d78fe
229,"PG. TORRAS I BAGES, 29",2.1910691,41.4378773,7,11,693793a79f93ebddb37e1610e5e0f952
230,"C/ MAS CASANOVAS, 137",2.1745567,41.4158995,8,14,6a26ea12319de8832d6b1e98912f725a
231,"PG. DE GRÀCIA, 61",2.1633226,41.393062,0,29,6ab48a3f17b678b7a14b5e1ec31d716c
232,"RAMBLA DE GUIPÚSCOA, 43/FLUVIA",2.1959771,41.4158412,17,26,6b3e985a3214ab5d1e0732c5a00537e8
233,WORLD TRADE CENTER,2.1804468,41.3720293,10,28,6bbc3329c88fa6e540166c5298c00686
234,"C/ COMTE D'URGELL, 43",2.1594741,41.3812504,21,13,6c594ebea1fb649cf3139aacd6e08031
235,"C/ ROSSELLÓ, 261",2.1599427,41.3954094,11,11,6c8a27a1642eddd5ccf4dfb99a120140
